SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
132336703734;debit_card;SETTLEMENT;37561.67;2025-11-03T14:20:48.000-03:00;-11869.83;2025-11-03T14:21:01.000-03:00;25128.41;-563.43;Mercado Libre; ;2025-12-01T14:20:51.000-03:00
131741378673;prepaid_card;SETTLEMENT;31713.54;2025-11-03T14:47:40.000-03:00;-13187.03;2025-11-03T14:47:51.000-03:00;18050.81;-475.70;Mercado Libre; ;2025-12-01T14:47:42.000-03:00
132342994082;available_money;SETTLEMENT;30655.19;2025-11-03T15:18:38.000-03:00;-12521.63;2025-11-03T15:18:45.000-03:00;17673.73;-459.83;Mercado Libre; ;2025-12-01T15:18:39.000-03:00
132345508210; ;PAYOUTS;-252500.00;2025-11-03T15:38:59.000-03:00;0.00;2025-11-03T15:38:59.000-03:00;-252500.00;0.00;;;
131746546745; ;PAYOUTS;-252500.00;2025-11-03T15:40:04.000-03:00;0.00;2025-11-03T15:40:04.000-03:00;-252500.00;0.00;;;
131747220713;available_money;SETTLEMENT;131631.00;2025-11-03T15:40:59.000-03:00;-30546.01;2025-11-03T15:41:44.000-03:00;101084.99;0.00;Mercado Libre; ;2025-12-01T15:41:00.000-03:00
132346196712;available_money;SETTLEMENT_SHIPPING;13600.99;2025-11-03T15:45:23.000-03:00;0.00;2025-11-03T15:45:35.000-03:00;13396.98;-204.01;Mercado Libre; ;2025-11-03T15:50:22.000-03:00
131747834183;available_money;SETTLEMENT;9348.26;2025-11-03T15:45:23.000-03:00;-3734.92;2025-11-03T15:45:37.000-03:00;-8127.87;-140.22;Mercado Libre; ;2025-12-01T15:45:23.000-03:00
131748937887;available_money;SETTLEMENT;24354.20;2025-11-03T15:57:15.000-03:00;-6220.64;2025-11-03T15:57:25.000-03:00;17768.25;-365.31;Mercado Libre; ;2025-12-01T15:57:15.000-03:00
131749525505;available_money;SETTLEMENT;11783.04;2025-11-03T16:02:14.000-03:00;-3011.88;2025-11-03T16:02:30.000-03:00;7946.35;-824.81;Mercado Libre; ;2025-12-01T16:02:15.000-03:00
132348214216;available_money;SETTLEMENT_SHIPPING;1003.66;2025-11-03T16:02:16.000-03:00;0.00;2025-11-03T16:02:31.000-03:00;933.40;-70.26;Mercado Libre; ;2025-12-01T16:02:16.000-03:00
132361034890;available_money;SETTLEMENT;15455.55;2025-11-03T17:46:41.000-03:00;-4788.10;2025-11-03T17:46:47.000-03:00;10435.62;-231.83;Mercado Libre; ;2025-12-01T17:46:42.000-03:00
132362666382;debit_card;SETTLEMENT;36643.54;2025-11-03T17:57:40.000-03:00;-14490.68;2025-11-03T17:57:54.000-03:00;21603.21;-549.65;Mercado Libre; ;2025-12-01T17:57:42.000-03:00
132365869212;available_money;SETTLEMENT;15455.55;2025-11-03T18:21:02.000-03:00;-4788.10;2025-11-03T18:21:17.000-03:00;10667.45;0.00;Mercado Libre; ;2025-12-01T18:21:03.000-03:00
131768030005;available_money;SETTLEMENT;48708.40;2025-11-03T18:26:48.000-03:00;-12441.28;2025-11-03T18:27:00.000-03:00;35536.49;-730.63;Mercado Libre; ;2025-12-01T18:26:49.000-03:00
131770069355;available_money;SETTLEMENT;25302.74;2025-11-03T18:39:42.000-03:00;-9346.97;2025-11-03T18:39:52.000-03:00;14184.58;-1771.19;Mercado Libre; ;2025-12-01T18:39:43.000-03:00
132386163360;credit_card;SETTLEMENT;37561.67;2025-11-03T20:47:28.000-03:00;-11869.83;2025-11-03T20:47:38.000-03:00;25128.41;-563.43;Mercado Libre; ;2025-12-01T20:47:30.000-03:00
132390778004;available_money;SETTLEMENT;48708.40;2025-11-03T21:27:33.000-03:00;-11877.84;2025-11-03T21:27:45.000-03:00;33330.56;0.00;Mercado Libre; ;2025-12-01T21:27:33.000-03:00
132402754760;available_money;SETTLEMENT;24354.20;2025-11-03T23:58:15.000-03:00;-6220.64;2025-11-03T23:58:33.000-03:00;17768.25;-365.31;Mercado Libre; ;2025-12-01T23:58:16.000-03:00
132404384426;available_money;SETTLEMENT_SHIPPING;471.16;2025-11-04T00:32:08.000-03:00;0.00;2025-11-04T00:32:12.000-03:00;464.09;-7.07;Mercado Libre; ;2025-12-02T00:32:09.000-03:00
131805569821;available_money;SETTLEMENT;22480.80;2025-11-04T00:32:05.000-03:00;-5849.06;2025-11-04T00:32:18.000-03:00;15823.37;-337.21;Mercado Libre; ;2025-12-02T00:32:06.000-03:00
132406616394;available_money;SETTLEMENT;25823.34;2025-11-04T01:31:47.000-03:00;-6387.16;2025-11-04T01:31:58.000-03:00;19436.18;0.00;Mercado Libre; ;2025-12-02T01:31:47.000-03:00
131811787585;available_money;SETTLEMENT;48708.40;2025-11-04T03:24:02.000-03:00;-12441.28;2025-11-04T03:24:09.000-03:00;35536.49;-730.63;Mercado Libre; ;2025-12-02T03:24:03.000-03:00
1735740603174; ;SETTLEMENT;12.65;2025-11-04T05:47:16.000-03:00;0.00;2025-11-04T05:47:16.000-03:00;12.65;0.00;;;
132424555254;available_money;SETTLEMENT;75123.34;2025-11-04T07:34:11.000-03:00;-23739.67;2025-11-04T07:34:52.000-03:00;50256.82;-1126.85;Mercado Libre; ;2025-12-02T07:34:12.000-03:00
131835241809;available_money;SETTLEMENT;42568.30;2025-11-04T09:20:30.000-03:00;-14848.82;2025-11-04T09:20:37.000-03:00;27080.96;-638.52;Mercado Libre; ;2025-12-02T09:20:30.000-03:00
132434864746;available_money;SETTLEMENT;36531.30;2025-11-04T09:27:48.000-03:00;-9225.96;2025-11-04T09:27:56.000-03:00;22819.20;-547.97;Mercado Libre; ;2025-12-02T09:27:49.000-03:00
131836174911;available_money;SETTLEMENT_SHIPPING;3938.17;2025-11-04T09:27:49.000-03:00;0.00;2025-11-04T09:27:57.000-03:00;3879.10;-59.07;Mercado Libre; ;2025-12-02T09:27:49.000-03:00
131838102957;digital_currency;SETTLEMENT;25329.49;2025-11-04T09:45:07.000-03:00;-11125.46;2025-11-04T09:45:17.000-03:00;14204.03;0.00;Mercado Libre; ;2025-12-02T09:45:08.000-03:00
131841757397;available_money;SETTLEMENT_SHIPPING;9970.99;2025-11-04T10:15:20.000-03:00;0.00;2025-11-04T10:15:24.000-03:00;9821.43;-149.56;Mercado Libre; ;2025-12-02T10:15:20.000-03:00
132440482936;available_money;SETTLEMENT;24354.20;2025-11-04T10:15:19.000-03:00;-6150.64;2025-11-04T10:15:28.000-03:00;7867.26;-365.31;Mercado Libre; ;2025-12-02T10:15:20.000-03:00
132451708974;available_money;SETTLEMENT_SHIPPING;4459.64;2025-11-04T11:47:30.000-03:00;0.00;2025-11-04T11:47:42.000-03:00;4392.75;-66.89;Mercado Libre; ;2025-12-02T11:47:30.000-03:00
132451693020;available_money;SETTLEMENT;18734.00;2025-11-04T11:47:29.000-03:00;-5315.88;2025-11-04T11:47:42.000-03:00;8677.47;-281.01;Mercado Libre; ;2025-12-02T11:47:30.000-03:00
132464803200;available_money;SETTLEMENT;-5000.00;2025-11-04T13:22:22.000-03:00;0.00;2025-11-04T13:22:22.000-03:00;-5000.00;0.00;;;2025-11-04T13:22:22.000-03:00
131866125119;available_money;SETTLEMENT;48708.40;2025-11-04T13:26:55.000-03:00;-12441.28;2025-11-04T13:27:06.000-03:00;35536.49;-730.63;Mercado Libre; ;2025-12-02T13:26:56.000-03:00
132476454802;debit_card;SETTLEMENT;38085.23;2025-11-04T15:07:37.000-03:00;-16623.14;2025-11-04T15:07:46.000-03:00;20890.81;-571.28;Mercado Libre; ;2025-12-02T15:07:39.000-03:00
131879139935;available_money;SETTLEMENT;31200.99;2025-11-04T15:27:44.000-03:00;-13067.43;2025-11-04T15:27:52.000-03:00;18133.56;0.00;Mercado Libre; ;2025-12-02T15:27:44.000-03:00
131879485693;available_money;SETTLEMENT;115774.36;2025-11-04T15:30:41.000-03:00;-50166.95;2025-11-04T15:30:52.000-03:00;65607.41;0.00;Mercado Libre; ;2025-12-02T15:30:42.000-03:00
132483124144;credit_card;SETTLEMENT;18983.09;2025-11-04T16:08:58.000-03:00;-9881.31;2025-11-04T16:09:12.000-03:00;9101.78;0.00;Mercado Libre; ;2025-12-02T16:09:00.000-03:00
132483703448;digital_currency;SETTLEMENT;19633.09;2025-11-04T16:15:28.000-03:00;-10531.31;2025-11-04T16:15:37.000-03:00;8807.28;-294.50;Mercado Libre; ;2025-12-02T16:15:29.000-03:00
132482413736;ticket;SETTLEMENT;39978.36;2025-11-04T16:04:55.000-03:00;-12258.88;2025-11-04T16:55:15.000-03:00;27119.80;-599.68;Mercado Libre; ;2025-12-02T16:55:02.000-03:00
132492704936;credit_card;SETTLEMENT;37561.67;2025-11-04T17:29:04.000-03:00;-11869.83;2025-11-04T17:29:15.000-03:00;25128.41;-563.43;Mercado Libre; ;2025-12-02T17:29:05.000-03:00
132499466034;available_money;SETTLEMENT;44739.75;2025-11-04T18:19:48.000-03:00;-16557.88;2025-11-04T18:19:56.000-03:00;28181.87;0.00;Mercado Libre; ;2025-12-02T18:19:49.000-03:00
132508563726;digital_currency;SETTLEMENT;15455.55;2025-11-04T19:24:30.000-03:00;-4788.10;2025-11-04T19:24:41.000-03:00;10435.62;-231.83;Mercado Libre; ;2025-12-02T19:24:31.000-03:00
132509665950;credit_card;SETTLEMENT;35841.10;2025-11-04T19:32:58.000-03:00;-12330.34;2025-11-04T19:33:13.000-03:00;23510.76;0.00;Mercado Libre; ;2025-12-02T19:32:59.000-03:00
131918033419;available_money;SETTLEMENT;24354.20;2025-11-04T20:31:01.000-03:00;-6220.64;2025-11-04T20:31:14.000-03:00;17768.25;-365.31;Mercado Libre; ;2025-12-02T20:31:02.000-03:00
131923895047;debit_card;SETTLEMENT;37561.67;2025-11-04T21:19:05.000-03:00;-11869.83;2025-11-04T21:19:21.000-03:00;25128.41;-563.43;Mercado Libre; ;2025-12-02T21:19:09.000-03:00
132534277360;available_money;SETTLEMENT;34213.42;2025-11-04T23:22:51.000-03:00;-10107.82;2025-11-04T23:23:00.000-03:00;23592.40;-513.20;Mercado Libre; ;2025-12-02T23:22:51.000-03:00
131935643439;bank_transfer;SETTLEMENT;43581.20;2025-11-04T23:36:28.000-03:00;-12398.88;2025-11-04T23:36:48.000-03:00;30528.60;-653.72;Mercado Libre; ;2025-12-02T23:36:40.000-03:00
132538357798;credit_card;SETTLEMENT;11000.00;2025-11-05T00:44:21.000-03:00;-2885.83;2025-11-05T00:44:28.000-03:00;7344.17;-770.00;Mercado Libre; ;2025-12-03T00:44:22.000-03:00
131943419061;credit_card;SETTLEMENT;27629.91;2025-11-05T02:35:26.000-03:00;-25652.13;2025-11-05T02:40:00.000-03:00;1563.33;-414.45;Mercado Libre; ;2025-12-03T02:35:27.000-03:00
1735779412855; ;SETTLEMENT;208.61;2025-11-05T02:49:24.000-03:00;0.00;2025-11-05T02:49:24.000-03:00;208.61;0.00;;;
